year,critical_direction_deg,critical_fetch_km,max_wind_time,max_wind_speed_U10_m_s,max_wind_direction_from_deg,wind_sector_half_width_deg,storm_start,storm_end,storm_duration_h,storm_threshold_m_s,UA_m_s,F_star,t_star,F_eff_star_from_duration,F_star_FAS_by_height,F_star_FAS_by_period,F_star_FAS_limit,limiting_dimensionless_fetch,sea_state,Hm0_Hs_m,Tp_s
2015,67.5,1074.12,2015-10-08 03:00:00,13.04443359375,56.75807189941406,11.25,2015-10-07 22:00:00,2015-10-08 03:00:00,6.0,9.7833251953125,16.719811503504584,37692.856980529985,12673.34861733251,2500.082930851235,23066.015625,22970.663371300332,23066.015625,2500.082930851235,Duration limited,2.2797694872411114,6.615762017721199
2016,67.5,1074.12,2016-10-17 03:00:00,14.20751953125,67.28919982910156,11.25,2016-10-17 01:00:00,2016-10-17 08:00:00,8.0,10.6556396484375,18.57187751147683,30549.927872284312,15212.67840719963,3287.9550328384316,23066.015625,22970.663371300332,23066.015625,3287.9550328384316,Duration limited,3.2257115651330945,8.05121565476103
2017,67.5,1074.12,2017-01-10 13:00:00,15.96630859375,71.31344604492188,11.25,2017-01-10 11:00:00,2017-01-10 16:00:00,6.0,11.9747314453125,21.438772071803175,22925.667872782207,9883.7750264014,1721.8749973068964,23066.015625,22970.663371300332,23066.015625,1721.8749973068964,Duration limited,3.110653229138359,7.491419884908018
2018,67.5,1074.12,2018-02-26 14:00:00,14.14599609375,69.37744140625,11.25,2018-02-25 21:00:00,2018-02-26 19:00:00,23.0,10.6094970703125,18.473007021990377,30877.819198472807,43970.53490171207,16156.971760703504,23066.015625,22970.663371300332,23066.015625,16156.971760703504,Duration limited,7.074669380865186,13.615113821732908
2019,67.5,1074.12,2019-11-26 00:00:00,12.00341796875,73.37347412109375,11.25,2019-11-25 22:00:00,2019-11-26 00:00:00,3.0,9.0025634765625,15.093967522910297,46250.346223253844,7019.228035252322,1030.5080059730049,23066.015625,22970.663371300332,23066.015625,1030.5080059730049,Duration limited,1.19284353952927,4.444786384087565
2020,67.5,1074.12,2020-03-24 06:00:00,11.94873046875,57.46604919433594,11.25,2020-03-23 20:00:00,2020-03-24 06:00:00,11.0,8.9615478515625,15.009427221122614,46772.82182740274,25882.133560253496,7296.548164830026,23066.015625,22970.663371300332,23066.015625,7296.548164830026,Duration limited,3.138614239382081,8.48724937516901
2021,67.5,1074.12,2021-09-06 15:00:00,12.37255859375,57.85939025878906,11.25,2021-09-06 13:00:00,2021-09-06 16:00:00,4.0,9.2794189453125,15.666917530954182,42929.38786360363,9016.706682785252,1500.3385070714783,23066.015625,22970.663371300332,23066.015625,1500.3385070714783,Duration limited,1.5506461953026653,5.228899985452067
2022,67.5,1074.12,2022-02-27 21:00:00,11.83984375,60.59381103515625,11.25,2022-02-27 21:00:00,2022-02-27 21:00:00,1.0,8.8798828125,14.841366610038188,47838.11123547644,2379.56523330631,203.40600269149104,23066.015625,22970.663371300332,23066.015625,203.40600269149104,Duration limited,0.5123664027071577,2.5446350639066524
2023,67.5,1074.12,2023-09-26 22:00:00,10.041015625,62.01765441894531,11.25,2023-09-26 22:00:00,2023-09-26 23:00:00,2.0,7.53076171875,12.118387890786483,71751.68619091898,5828.498034272444,779.7445072661244,23066.015625,22970.663371300332,23066.015625,779.7445072661244,Duration limited,0.6688316807918853,3.2518161473200675
2024,67.5,1074.12,2024-12-01 06:00:00,12.50048828125,68.25973510742188,11.25,2024-11-30 14:00:00,2024-12-02 12:00:00,47.0,9.3753662109375,15.866404819953573,41856.67721192705,104614.24745148138,59293.02334849895,23066.015625,22970.663371300332,23066.015625,23066.015625,FAS,6.235830873016001,13.149222343141952
2025,67.5,1074.12,2025-10-02 13:00:00,14.3740234375,65.83047485351562,11.25,2025-10-02 05:00:00,2025-10-02 21:00:00,17.0,10.780517578125,18.83994877231158,29686.730876535574,31866.965630094808,9968.467805241484,23066.015625,22970.663371300332,23066.015625,9968.467805241484,Duration limited,5.7799571092171815,11.820963604234777
